study	sample	experiment	run	organism	instrument.platform	instrument.model	library.name	library.layout	library.source	library.selection	run.read.count	run.base.count	file.name	file.size	md5	fasp
ERP000101	ERS003656	ERX002669	ERR009131	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12414	PAIRED	NON GENOMIC	cDNA	11712593	866731882	ERR009131_1.fastq.gz	483Mb	13644e9a1beae4c543f32b496ecbd723	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009131/ERR009131_1.fastq.gz
ERP000101	ERS003656	ERX002669	ERR009131	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12414	PAIRED	NON GENOMIC	cDNA	11712593	866731882	ERR009131_2.fastq.gz	510Mb	e30741c7c1a7d6d64124e7b9e105e934	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009131/ERR009131_2.fastq.gz
ERP000101	ERS003664	ERX002684	ERR009144	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12234	PAIRED	NON GENOMIC	cDNA	10402587	769791438	ERR009144_1.fastq.gz	399Mb	81582cafbe776325dd6485d4b21e2cd5	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009144/ERR009144_1.fastq.gz
ERP000101	ERS003664	ERX002684	ERR009144	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12234	PAIRED	NON GENOMIC	cDNA	10402587	769791438	ERR009144_2.fastq.gz	425Mb	3263376bec5903aa5f138e6ff34fe204	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009144/ERR009144_2.fastq.gz
ERP000101	ERS003627	ERX002698	ERR009152	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12763	PAIRED	NON GENOMIC	cDNA	7484999	553889926	ERR009152_1.fastq.gz	300Mb	ce4eb1729f589868d15f9468c407b87e	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009152/ERR009152_1.fastq.gz
ERP000101	ERS003627	ERX002698	ERR009152	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12763	PAIRED	NON GENOMIC	cDNA	7484999	553889926	ERR009152_2.fastq.gz	297Mb	83ee3dd627de44fe122827d09a46a1cb	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009152/ERR009152_2.fastq.gz
ERP000101	ERS003653	ERX002649	ERR009138	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5005351	360385272	ERR009138_1.fastq.gz	187Mb	b0a15fc5bd7d42dc5fa505d23d96f459	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009138/ERR009138_1.fastq.gz
ERP000101	ERS003653	ERX002649	ERR009138	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5005351	360385272	ERR009138_2.fastq.gz	192Mb	07d09e2d1eeabadc60761a62f0f33dca	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009138/ERR009138_2.fastq.gz
ERP000101	ERS003653	ERX002663	ERR009161	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5202966	374613552	ERR009161_1.fastq.gz	190Mb	079861bcae2a089969495ce8b1d8108b	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009161/ERR009161_1.fastq.gz
ERP000101	ERS003653	ERX002663	ERR009161	Homo sapiens	ILLUMINA	Illumina Genome Analyzer II	NA12892	PAIRED	NON GENOMIC	cDNA	5202966	374613552	ERR009161_2.fastq.gz	196Mb	f1218979d01902de7c42e029a342951d	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR009/ERR009161/ERR009161_2.fastq.gz
