run	file.name	library.layout	hapmap.id	example	gender	pop
SRR031867	SRR031867.fastq.gz	SINGLE	NA19140	1	female	YRI
SRR031900	SRR031900.fastq.gz	SINGLE	NA19140	1	female	YRI
SRR031904	SRR031904.fastq.gz	SINGLE	NA18508	1	female	YRI
SRR031868	SRR031868.fastq.gz	SINGLE	NA18508	1	female	YRI
SRR031960	SRR031960.fastq.gz	SINGLE	NA19137	1	female	YRI
SRR031958	SRR031958.fastq.gz	SINGLE	NA19137	1	female	YRI
SRR031936	SRR031936.fastq.gz	SINGLE	NA19204	1	female	YRI
SRR031914	SRR031914.fastq.gz	SINGLE	NA19204	1	female	YRI
SRR031835	SRR031835.fastq.gz	SINGLE	NA19209	1	female	YRI
SRR031812	SRR031812.fastq.gz	SINGLE	NA19209	1	female	YRI
ERR009151	ERR009151_1.fastq.gz	PAIRED	NA12815	1	female	CEU
ERR009151	ERR009151_2.fastq.gz	PAIRED	NA12815	1	female	CEU
ERR009159	ERR009159_1.fastq.gz	PAIRED	NA06985	1	female	CEU
ERR009159	ERR009159_2.fastq.gz	PAIRED	NA06985	1	female	CEU
ERR009107	ERR009107_1.fastq.gz	PAIRED	NA12249	1	female	CEU
ERR009107	ERR009107_2.fastq.gz	PAIRED	NA12249	1	female	CEU
ERR009102	ERR009102_1.fastq.gz	PAIRED	NA11931	1	female	CEU
ERR009102	ERR009102_2.fastq.gz	PAIRED	NA11931	1	female	CEU
ERR009164	ERR009164_1.fastq.gz	PAIRED	NA12717	1	female	CEU
ERR009164	ERR009164_2.fastq.gz	PAIRED	NA12717	1	female	CEU
ERR009151	ERR009151_1.fastq.gz	PAIRED	NA12815	2	female	CEU
ERR009151	ERR009151_2.fastq.gz	PAIRED	NA12815	2	female	CEU
ERR009159	ERR009159_1.fastq.gz	PAIRED	NA06985	2	female	CEU
ERR009159	ERR009159_2.fastq.gz	PAIRED	NA06985	2	female	CEU
ERR009107	ERR009107_1.fastq.gz	PAIRED	NA12249	2	female	CEU
ERR009107	ERR009107_2.fastq.gz	PAIRED	NA12249	2	female	CEU
ERR009102	ERR009102_1.fastq.gz	PAIRED	NA11931	2	female	CEU
ERR009102	ERR009102_2.fastq.gz	PAIRED	NA11931	2	female	CEU
ERR009164	ERR009164_1.fastq.gz	PAIRED	NA12717	2	female	CEU
ERR009164	ERR009164_2.fastq.gz	PAIRED	NA12717	2	female	CEU
ERR009105	ERR009105_1.fastq.gz	PAIRED	NA12891	2	male	CEU
ERR009105	ERR009105_2.fastq.gz	PAIRED	NA12891	2	male	CEU
ERR009145	ERR009145_1.fastq.gz	PAIRED	NA12874	2	male	CEU
ERR009145	ERR009145_2.fastq.gz	PAIRED	NA12874	2	male	CEU
ERR009167	ERR009167_1.fastq.gz	PAIRED	NA07357	2	male	CEU
ERR009167	ERR009167_2.fastq.gz	PAIRED	NA07357	2	male	CEU
ERR009115	ERR009115_1.fastq.gz	PAIRED	NA12155	2	male	CEU
ERR009115	ERR009115_2.fastq.gz	PAIRED	NA12155	2	male	CEU
ERR009163	ERR009163_1.fastq.gz	PAIRED	NA12043	2	male	CEU
ERR009163	ERR009163_2.fastq.gz	PAIRED	NA12043	2	male	CEU
ERR009151	ERR009151_1.fastq.gz	PAIRED	NA12815	3	female	CEU
ERR009151	ERR009151_2.fastq.gz	PAIRED	NA12815	3	female	CEU
ERR009159	ERR009159_1.fastq.gz	PAIRED	NA06985	3	female	CEU
ERR009159	ERR009159_2.fastq.gz	PAIRED	NA06985	3	female	CEU
ERR009107	ERR009107_1.fastq.gz	PAIRED	NA12249	3	female	CEU
ERR009107	ERR009107_2.fastq.gz	PAIRED	NA12249	3	female	CEU
ERR009102	ERR009102_1.fastq.gz	PAIRED	NA11931	3	female	CEU
ERR009102	ERR009102_2.fastq.gz	PAIRED	NA11931	3	female	CEU
ERR009164	ERR009164_1.fastq.gz	PAIRED	NA12717	3	female	CEU
ERR009164	ERR009164_2.fastq.gz	PAIRED	NA12717	3	female	CEU
ERR009131	ERR009131_1.fastq.gz	PAIRED	NA12414	3	female	CEU
ERR009131	ERR009131_2.fastq.gz	PAIRED	NA12414	3	female	CEU
ERR009144	ERR009144_1.fastq.gz	PAIRED	NA12234	3	female	CEU
ERR009144	ERR009144_2.fastq.gz	PAIRED	NA12234	3	female	CEU
ERR009152	ERR009152_1.fastq.gz	PAIRED	NA12763	3	female	CEU
ERR009152	ERR009152_2.fastq.gz	PAIRED	NA12763	3	female	CEU
ERR009138	ERR009138_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009138	ERR009138_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009161	ERR009161_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009161	ERR009161_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009112	ERR009112_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009112	ERR009112_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009153	ERR009153_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009153	ERR009153_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009101	ERR009101_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009101	ERR009101_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009116	ERR009116_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009116	ERR009116_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009148	ERR009148_1.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009148	ERR009148_2.fastq.gz	PAIRED	NA12892	3	female	CEU
ERR009108	ERR009108_1.fastq.gz	PAIRED	NA11995	3	female	CEU
ERR009108	ERR009108_2.fastq.gz	PAIRED	NA11995	3	female	CEU
